Suburb	PostCode	State	BSPname
WADEYE	0822	NT	DARWIN
WAGAIT BEACH	0822	NT	DARWIN
WAK WAK	0822	NT	DARWIN
WARRUWI	0822	NT	DARWIN
WEDDELL	0822	NT	DARWIN
WEST ARNHEM	0822	NT	DARWIN
WICKHAM	0822	NT	DARWIN
WINNELLIE	0822	NT	DARWIN
WISHART	0822	NT	DARWIN
WOOLANING	0822	NT	DARWIN
WURRUMIYANGA	0822	NT	DARWIN
BERRIMAH	0828	NT	DARWIN
KNUCKEY LAGOON	0828	NT	DARWIN
HOLTZE	0829	NT	DARWIN
PINELANDS	0829	NT	DARWIN
ARCHER	0830	NT	DARWIN
DRIVER	0830	NT	DARWIN
DURACK	0830	NT	DARWIN
FARRAR	0830	NT	DARWIN
GRAY	0830	NT	DARWIN
MARLOW LAGOON	0830	NT	DARWIN
MOULDEN	0830	NT	DARWIN
PALMERSTON	0830	NT	DARWIN
SHOAL BAY	0830	NT	DARWIN
WOODROFFE	0830	NT	DARWIN
YARRAWONGA	0830	NT	DARWIN
PALMERSTON	0831	NT	DARWIN
BAKEWELL	0832	NT	DARWIN
BELLAMACK	0832	NT	DARWIN
GUNN	0832	NT	DARWIN
JOHNSTON	0832	NT	DARWIN
MITCHELL	0832	NT	DARWIN
ROSEBERY	0832	NT	DARWIN
ROSEBERY HEIGHTS	0832	NT	DARWIN
ZUCCOLI	0832	NT	DARWIN
VIRGINIA	0834	NT	DARWIN
HOWARD SPRINGS	0835	NT	DARWIN
GIRRAWEEN	0836	NT	DARWIN
HERBERT	0836	NT	DARWIN
HUMPTY DOO	0836	NT	DARWIN
MANTON	0837	NT	DARWIN
NOONAMAH	0837	NT	DARWIN
BERRY SPRINGS	0838	NT	DARWIN
COOLALINGA	0839	NT	DARWIN
DUNDEE BEACH	0840	NT	DARWIN
DUNDEE DOWNS	0840	NT	DARWIN
DUNDEE FOREST	0840	NT	DARWIN
DARWIN RIVER	0841	NT	DARWIN
BATCHELOR	0845	NT	DARWIN
ADELAIDE RIVER	0846	NT	DARWIN
PINE CREEK	0847	NT	DARWIN
COSSACK	0850	NT	DARWIN
EMUNGALAN	0850	NT	DARWIN
KATHERINE	0850	NT	DARWIN
KATHERINE EAST	0850	NT	DARWIN
KATHERINE SOUTH	0850	NT	DARWIN
LANSDOWNE	0850	NT	DARWIN
KATHERINE	0851	NT	DARWIN
ARNOLD	0852	NT	DARWIN
BAINES	0852	NT	DARWIN
BARUNGA	0852	NT	DARWIN
BESWICK	0852	NT	DARWIN
BESWICK CREEK	0852	NT	DARWIN
BINJARI	0852	NT	DARWIN
BIRDUM	0852	NT	DARWIN
BRADSHAW	0852	NT	DARWIN
BUCHANAN	0852	NT	DARWIN
BULMAN WEEMOL	0852	NT	DARWIN
CRESWELL	0852	NT	DARWIN
DAGURAGU	0852	NT	DARWIN
DALY WATERS	0852	NT	DARWIN
DELAMERE	0852	NT	DARWIN
DUNMARRA	0852	NT	DARWIN
EDITH	0852	NT	DARWIN
ELSEY	0852	NT	DARWIN
ELSEY STATION	0852	NT	DARWIN
FLORINA	0852	NT	DARWIN
FLYING FOX	0852	NT	DARWIN
GREGORY	0852	NT	DARWIN
GULUNG MARDRULK	0852	NT	DARWIN
GURINDJI	0852	NT	DARWIN
JILKMINGGAN	0852	NT	DARWIN
KALKARINDJI	0852	NT	DARWIN
KATHERINE	0852	NT	DARWIN
LAJAMANU	0852	NT	DARWIN
LARRIMAH	0852	NT	DARWIN
LIMMEN	0852	NT	DARWIN
MANBULLOO	0852	NT	DARWIN
MARANBOY	0852	NT	DARWIN
MATARANKA	0852	NT	DARWIN
MCARTHUR	0852	NT	DARWIN
MINIYERI	0852	NT	DARWIN
NGUKURR	0852	NT	DARWIN
NITMILUK	0852	NT	DARWIN
PELLEW ISLANDS	0852	NT	DARWIN
PIGEON HOLE	0852	NT	DARWIN
