Suburb	PostCode	State	BSPname
BENGALLA	2333	NSW	HUNTER
CASTLE ROCK	2333	NSW	HUNTER
EDDERTON	2333	NSW	HUNTER
GUNGAL	2333	NSW	HUNTER
KAYUGA	2333	NSW	HUNTER
LIDDELL	2333	NSW	HUNTER
MANOBALAI	2333	NSW	HUNTER
MCCULLYS GAP	2333	NSW	HUNTER
MUSCLE CREEK	2333	NSW	HUNTER
MUSWELLBROOK	2333	NSW	HUNTER
SANDY HOLLOW	2333	NSW	HUNTER
WYBONG	2333	NSW	HUNTER
GRETA	2334	NSW	HUNTER
BELFORD	2335	NSW	HUNTER
BRANXTON	2335	NSW	HUNTER
DALWOOD	2335	NSW	HUNTER
EAST BRANXTON	2335	NSW	HUNTER
ELDERSLIE	2335	NSW	HUNTER
LAMBS VALLEY	2335	NSW	HUNTER
LECONFIELD	2335	NSW	HUNTER
LOWER BELFORD	2335	NSW	HUNTER
NORTH ROTHBURY	2335	NSW	HUNTER
STANHOPE	2335	NSW	HUNTER
ABERDEEN	2336	NSW	HUNTER
DARTBROOK	2336	NSW	HUNTER
DAVIS CREEK	2336	NSW	HUNTER
ROSSGOLE	2336	NSW	HUNTER
ROUCHEL	2336	NSW	HUNTER
ROUCHEL BROOK	2336	NSW	HUNTER
UPPER DARTBROOK	2336	NSW	HUNTER
UPPER ROUCHEL	2336	NSW	HUNTER
BELLTREES	2337	NSW	HUNTER
BRAWBOY	2337	NSW	HUNTER
BUNNAN	2337	NSW	HUNTER
DRY CREEK	2337	NSW	HUNTER
ELLERSTON	2337	NSW	HUNTER
GLENBAWN	2337	NSW	HUNTER
GLENROCK	2337	NSW	HUNTER
GUNDY	2337	NSW	HUNTER
KARS SPRINGS	2337	NSW	HUNTER
MIDDLE BROOK	2337	NSW	HUNTER
MOOBI	2337	NSW	HUNTER
MOONAN BROOK	2337	NSW	HUNTER
MOONAN FLAT	2337	NSW	HUNTER
MURULLA	2337	NSW	HUNTER
OMADALE	2337	NSW	HUNTER
OWENS GAP	2337	NSW	HUNTER
PAGES CREEK	2337	NSW	HUNTER
PARKVILLE	2337	NSW	HUNTER
SCONE	2337	NSW	HUNTER
SEGENHOE	2337	NSW	HUNTER
STEWARTS BROOK	2337	NSW	HUNTER
TOMALLA	2337	NSW	HUNTER
WAVERLY	2337	NSW	HUNTER
WINGEN	2337	NSW	HUNTER
WOOLOOMA	2337	NSW	HUNTER
ARDGLEN	2338	NSW	HUNTER
BLANDFORD	2338	NSW	HUNTER
CRAWNEY	2338	NSW	HUNTER
GREEN CREEK	2338	NSW	HUNTER
MURRURUNDI	2338	NSW	HUNTER
PAGES RIVER	2338	NSW	HUNTER
SANDY CREEK	2338	NSW	HUNTER
SCOTTS CREEK	2338	NSW	HUNTER
TIMOR	2338	NSW	HUNTER
BIG JACKS CREEK	2339	NSW	NSW NORTH COAST
BRAEFIELD	2339	NSW	NSW NORTH COAST
CATTLE CREEK	2339	NSW	NSW NORTH COAST
CHILCOTTS CREEK	2339	NSW	NSW NORTH COAST
LITTLE JACKS CREEK	2339	NSW	NSW NORTH COAST
MACDONALDS CREEK	2339	NSW	NSW NORTH COAST
PARRAWEENA	2339	NSW	NSW NORTH COAST
WARRAH	2339	NSW	NSW NORTH COAST
WARRAH CREEK	2339	NSW	NSW NORTH COAST
WILLOW TREE	2339	NSW	NSW NORTH COAST
APPLEBY	2340	NSW	NSW NORTH COAST
BARRY	2340	NSW	NSW NORTH COAST
BECTIVE	2340	NSW	NSW NORTH COAST
BITHRAMERE	2340	NSW	NSW NORTH COAST
BOWLING ALLEY POINT	2340	NSW	NSW NORTH COAST
CALALA	2340	NSW	NSW NORTH COAST
CARROLL	2340	NSW	NSW NORTH COAST
DARUKA	2340	NSW	NSW NORTH COAST
DUNCANS CREEK	2340	NSW	NSW NORTH COAST
DUNGOWAN	2340	NSW	NSW NORTH COAST
EAST TAMWORTH	2340	NSW	NSW NORTH COAST
GAROO	2340	NSW	NSW NORTH COAST
GIDLEY	2340	NSW	NSW NORTH COAST
GOONOO GOONOO	2340	NSW	NSW NORTH COAST
GOWRIE	2340	NSW	NSW NORTH COAST
HALLSVILLE	2340	NSW	NSW NORTH COAST
HANGING ROCK	2340	NSW	NSW NORTH COAST
HILLVUE	2340	NSW	NSW NORTH COAST
KEEPIT	2340	NSW	NSW NORTH COAST
KINGSWOOD	2340	NSW	NSW NORTH COAST
LOOMBERAH	2340	NSW	NSW NORTH COAST
MOORE CREEK	2340	NSW	NSW NORTH COAST
NEMINGHA	2340	NSW	NSW NORTH COAST
NORTH TAMWORTH	2340	NSW	NSW NORTH COAST
NUNDLE	2340	NSW	NSW NORTH COAST
OGUNBIL	2340	NSW	NSW NORTH COAST
OXLEY VALE	2340	NSW	NSW NORTH COAST
PIALLAMORE	2340	NSW	NSW NORTH COAST
SOMERTON	2340	NSW	NSW NORTH COAST
SOUTH TAMWORTH	2340	NSW	NSW NORTH COAST
TAMINDA	2340	NSW	NSW NORTH COAST
TAMWORTH	2340	NSW	NSW NORTH COAST
TIMBUMBURI	2340	NSW	NSW NORTH COAST
WALLAMORE	2340	NSW	NSW NORTH COAST
WARRAL	2340	NSW	NSW NORTH COAST
WEABONGA	2340	NSW	NSW NORTH COAST
WEST TAMWORTH	2340	NSW	NSW NORTH COAST
WESTDALE	2340	NSW	NSW NORTH COAST
WOOLOMIN	2340	NSW	NSW NORTH COAST
WERRIS CREEK	2341	NSW	NSW NORTH COAST
CURRABUBULA	2342	NSW	NSW NORTH COAST
PIALLAWAY	2342	NSW	NSW NORTH COAST
BLACKVILLE	2343	NSW	NSW NORTH COAST
BORAMBIL	2343	NSW	NSW NORTH COAST
BUNDELLA	2343	NSW	NSW NORTH COAST
CAROONA	2343	NSW	NSW NORTH COAST
COLLY BLUE	2343	NSW	NSW NORTH COAST
COOMOO COOMOO	2343	NSW	NSW NORTH COAST
PINE RIDGE	2343	NSW	NSW NORTH COAST
QUIPOLLY	2343	NSW	NSW NORTH COAST
QUIRINDI	2343	NSW	NSW NORTH COAST
SPRING RIDGE	2343	NSW	NSW NORTH COAST
WALLABADAH	2343	NSW	NSW NORTH COAST
WARRAH RIDGE	2343	NSW	NSW NORTH COAST
WINDY	2343	NSW	NSW NORTH COAST
YANNERGEE	2343	NSW	NSW NORTH COAST
YARRAMAN	2343	NSW	NSW NORTH COAST
DURI	2344	NSW	NSW NORTH COAST
WINTON	2344	NSW	NSW NORTH COAST
ATTUNGA	2345	NSW	NSW NORTH COAST
GARTHOWEN	2345	NSW	NSW NORTH COAST
BORAH CREEK	2346	NSW	NSW NORTH COAST
HALLS CREEK	2346	NSW	NSW NORTH COAST
KLORI	2346	NSW	NSW NORTH COAST
MANILLA	2346	NSW	NSW NORTH COAST
NAMOI RIVER	2346	NSW	NSW NORTH COAST
NEW MEXICO	2346	NSW	NSW NORTH COAST
RUSHES CREEK	2346	NSW	NSW NORTH COAST
UPPER MANILLA	2346	NSW	NSW NORTH COAST
WARRABAH	2346	NSW	NSW NORTH COAST
WIMBORNE	2346	NSW	NSW NORTH COAST
WONGO CREEK	2346	NSW	NSW NORTH COAST
BANOON	2347	NSW	NSW NORTH COAST
BARRABA	2347	NSW	NSW NORTH COAST
COBBADAH	2347	NSW	NSW NORTH COAST
GULF CREEK	2347	NSW	NSW NORTH COAST
GUNDAMULDA	2347	NSW	NSW NORTH COAST
IRONBARK	2347	NSW	NSW NORTH COAST
LINDESAY	2347	NSW	NSW NORTH COAST
LONGARM	2347	NSW	NSW NORTH COAST
MAYVALE	2347	NSW	NSW NORTH COAST
RED HILL	2347	NSW	NSW NORTH COAST
THIRLDENE	2347	NSW	NSW NORTH COAST
UPPER HORTON	2347	NSW	NSW NORTH COAST
WOODSREEF	2347	NSW	NSW NORTH COAST
NEW ENGLAND MC	2348	NSW	NSW NORTH COAST
ABERFOYLE	2350	NSW	NSW NORTH COAST
ABINGTON	2350	NSW	NSW NORTH COAST
ARGYLE	2350	NSW	NSW NORTH COAST
ARMIDALE	2350	NSW	NSW NORTH COAST
BOOROLONG	2350	NSW	NSW NORTH COAST
CASTLE DOYLE	2350	NSW	NSW NORTH COAST
DANGARSLEIGH	2350	NSW	NSW NORTH COAST
DONALD CREEK	2350	NSW	NSW NORTH COAST
DUMARESQ	2350	NSW	NSW NORTH COAST
DUVAL	2350	NSW	NSW NORTH COAST
ENMORE	2350	NSW	NSW NORTH COAST
HILLGROVE	2350	NSW	NSW NORTH COAST
INVERGOWRIE	2350	NSW	NSW NORTH COAST
JEOGLA	2350	NSW	NSW NORTH COAST
KELLYS PLAINS	2350	NSW	NSW NORTH COAST
LYNDHURST	2350	NSW	NSW NORTH COAST
PUDDLEDOCK	2350	NSW	NSW NORTH COAST
SAUMAREZ	2350	NSW	NSW NORTH COAST
SAUMAREZ PONDS	2350	NSW	NSW NORTH COAST
THALGARRAH	2350	NSW	NSW NORTH COAST
TILBUSTER	2350	NSW	NSW NORTH COAST
WARDS MISTAKE	2350	NSW	NSW NORTH COAST
WEST ARMIDALE	2350	NSW	NSW NORTH COAST
WOLLOMOMBI	2350	NSW	NSW NORTH COAST
WONGWIBINDA	2350	NSW	NSW NORTH COAST
UNIVERSITY OF NEW ENGLAND	2351	NSW	NSW NORTH COAST
KOOTINGAL	2352	NSW	NSW NORTH COAST
LIMBRI	2352	NSW	NSW NORTH COAST
MULLA CREEK	2352	NSW	NSW NORTH COAST
TINTINHULL	2352	NSW	NSW NORTH COAST
MOONBI	2353	NSW	NSW NORTH COAST
KENTUCKY	2354	NSW	NSW NORTH COAST
KENTUCKY SOUTH	2354	NSW	NSW NORTH COAST
NIANGALA	2354	NSW	NSW NORTH COAST
NOWENDOC	2354	NSW	NSW NORTH COAST
WALCHA	2354	NSW	NSW NORTH COAST
WALCHA ROAD	2354	NSW	NSW NORTH COAST
WOLLUN	2354	NSW	NSW NORTH COAST
WOOLBROOK	2354	NSW	NSW NORTH COAST
YARROWITCH	2354	NSW	NSW NORTH COAST
BENDEMEER	2355	NSW	NSW NORTH COAST
RETREAT	2355	NSW	NSW NORTH COAST
WATSONS CREEK	2355	NSW	NSW NORTH COAST
GWABEGAR	2356	NSW	NSW NORTH COAST
BOMERA	2357	NSW	NSW NORTH COAST
BOX RIDGE	2357	NSW	NSW NORTH COAST
BUGALDIE	2357	NSW	NSW NORTH COAST
COONABARABRAN	2357	NSW	NSW NORTH COAST
DANDRY	2357	NSW	NSW NORTH COAST
GOWANG	2357	NSW	NSW NORTH COAST
PURLEWAUGH	2357	NSW	NSW NORTH COAST
ROCKY GLEN	2357	NSW	NSW NORTH COAST
TANNABAR	2357	NSW	NSW NORTH COAST
ULAMAMBRI	2357	NSW	NSW NORTH COAST
WATTLE SPRINGS	2357	NSW	NSW NORTH COAST
ARDING	2358	NSW	NSW NORTH COAST
BALALA	2358	NSW	NSW NORTH COAST
GOSTWYCK	2358	NSW	NSW NORTH COAST
KINGSTOWN	2358	NSW	NSW NORTH COAST
MIHI	2358	NSW	NSW NORTH COAST
ROCKY RIVER	2358	NSW	NSW NORTH COAST
SALISBURY PLAINS	2358	NSW	NSW NORTH COAST
TORRYBURN	2358	NSW	NSW NORTH COAST
URALLA	2358	NSW	NSW NORTH COAST
YARROWYCK	2358	NSW	NSW NORTH COAST
ABERDEEN	2359	NSW	NSW NORTH COAST
BAKERS CREEK	2359	NSW	NSW NORTH COAST
BUNDARRA	2359	NSW	NSW NORTH COAST
CAMERONS CREEK	2359	NSW	NSW NORTH COAST
AUBURN VALE	2360	NSW	NSW NORTH COAST
BRODIES PLAINS	2360	NSW	NSW NORTH COAST
BUKKULLA	2360	NSW	NSW NORTH COAST
CHERRY TREE HILL	2360	NSW	NSW NORTH COAST
COPETON	2360	NSW	NSW NORTH COAST
ELSMORE	2360	NSW	NSW NORTH COAST
GILGAI	2360	NSW	NSW NORTH COAST
GRAMAN	2360	NSW	NSW NORTH COAST
GUM FLAT	2360	NSW	NSW NORTH COAST
HOWELL	2360	NSW	NSW NORTH COAST
INVERELL	2360	NSW	NSW NORTH COAST
KINGS PLAINS	2360	NSW	NSW NORTH COAST
LITTLE PLAIN	2360	NSW	NSW NORTH COAST
LONG PLAIN	2360	NSW	NSW NORTH COAST
MOUNT RUSSELL	2360	NSW	NSW NORTH COAST
NEWSTEAD	2360	NSW	NSW NORTH COAST
NULLAMANNA	2360	NSW	NSW NORTH COAST
OAKWOOD	2360	NSW	NSW NORTH COAST
PARADISE	2360	NSW	NSW NORTH COAST
ROB ROY	2360	NSW	NSW NORTH COAST
SAPPHIRE	2360	NSW	NSW NORTH COAST
SPRING MOUNTAIN	2360	NSW	NSW NORTH COAST
STANBOROUGH	2360	NSW	NSW NORTH COAST
SWANBROOK	2360	NSW	NSW NORTH COAST
WALLANGRA	2360	NSW	NSW NORTH COAST
WANDERA	2360	NSW	NSW NORTH COAST
WOODSTOCK	2360	NSW	NSW NORTH COAST
ASHFORD	2361	NSW	NSW NORTH COAST
ATHOLWOOD	2361	NSW	NSW NORTH COAST
BONSHAW	2361	NSW	NSW NORTH COAST
LIMESTONE	2361	NSW	NSW NORTH COAST
PINDAROI	2361	NSW	NSW NORTH COAST
BACKWATER	2365	NSW	NSW NORTH COAST
BALD BLAIR	2365	NSW	NSW NORTH COAST
BALDERSLEIGH	2365	NSW	NSW NORTH COAST
BASSENDEAN	2365	NSW	NSW NORTH COAST
BEN LOMOND	2365	NSW	NSW NORTH COAST
BLACK MOUNTAIN	2365	NSW	NSW NORTH COAST
BRIARBROOK	2365	NSW	NSW NORTH COAST
BROCKLEY	2365	NSW	NSW NORTH COAST
BRUSHY CREEK	2365	NSW	NSW NORTH COAST
FALCONER	2365	NSW	NSW NORTH COAST
GEORGES CREEK	2365	NSW	NSW NORTH COAST
GLEN NEVIS	2365	NSW	NSW NORTH COAST
GLENCOE	2365	NSW	NSW NORTH COAST
GREEN HILLS	2365	NSW	NSW NORTH COAST
GUYRA	2365	NSW	NSW NORTH COAST
LLANGOTHLIN	2365	NSW	NSW NORTH COAST
MAYBOLE	2365	NSW	NSW NORTH COAST
MOUNT MITCHELL	2365	NSW	NSW NORTH COAST
NEW VALLEY	2365	NSW	NSW NORTH COAST
OBAN	2365	NSW	NSW NORTH COAST
SOUTH GUYRA	2365	NSW	NSW NORTH COAST
TENTERDEN	2365	NSW	NSW NORTH COAST
THE BASIN	2365	NSW	NSW NORTH COAST
THE GULF	2365	NSW	NSW NORTH COAST
TUBBAMURRA	2365	NSW	NSW NORTH COAST
WANDSWORTH	2365	NSW	NSW NORTH COAST
OLD MILL	2369	NSW	NSW NORTH COAST
STANNIFER	2369	NSW	NSW NORTH COAST
TINGHA	2369	NSW	NSW NORTH COAST
BALD NOB	2370	NSW	NSW NORTH COAST
DIEHARD	2370	NSW	NSW NORTH COAST
DUNDEE	2370	NSW	NSW NORTH COAST
FURRACABAD	2370	NSW	NSW NORTH COAST
GIBRALTAR RANGE	2370	NSW	NSW NORTH COAST
GLEN ELGIN	2370	NSW	NSW NORTH COAST
GLEN INNES	2370	NSW	NSW NORTH COAST
KINGSGATE	2370	NSW	NSW NORTH COAST
KOOKABOOKRA	2370	NSW	NSW NORTH COAST
LAMBS VALLEY	2370	NSW	NSW NORTH COAST
MATHESON	2370	NSW	NSW NORTH COAST
MOGGS SWAMP	2370	NSW	NSW NORTH COAST
MOOGEM	2370	NSW	NSW NORTH COAST
MORVEN	2370	NSW	NSW NORTH COAST
NEWTON BOYD	2370	NSW	NSW NORTH COAST
PINKETT	2370	NSW	NSW NORTH COAST
RANGERS VALLEY	2370	NSW	NSW NORTH COAST
RED RANGE	2370	NSW	NSW NORTH COAST
REDDESTONE	2370	NSW	NSW NORTH COAST
SHANNON VALE	2370	NSW	NSW NORTH COAST
STONEHENGE	2370	NSW	NSW NORTH COAST
SWAN VALE	2370	NSW	NSW NORTH COAST
WELLINGROVE	2370	NSW	NSW NORTH COAST
YARROWFORD	2370	NSW	NSW NORTH COAST
CAPOOMPETA	2371	NSW	NSW NORTH COAST
DEEPWATER	2371	NSW	NSW NORTH COAST
EMMAVILLE	2371	NSW	NSW NORTH COAST
ROCKY CREEK	2371	NSW	NSW NORTH COAST
STANNUM	2371	NSW	NSW NORTH COAST
TORRINGTON	2371	NSW	NSW NORTH COAST
WELLINGTON VALE	2371	NSW	NSW NORTH COAST
YELLOW DAM	2371	NSW	NSW NORTH COAST
BACK CREEK	2372	NSW	NSW NORTH COAST
BOLIVIA	2372	NSW	NSW NORTH COAST
BOOKOOKOORARA	2372	NSW	NSW NORTH COAST
BOONOO BOONOO	2372	NSW	NSW NORTH COAST
BOOROOK	2372	NSW	NSW NORTH COAST
CARROLLS CREEK	2372	NSW	NSW NORTH COAST
CULLENDORE	2372	NSW	NSW NORTH COAST
DUMARESQ VALLEY	2372	NSW	NSW NORTH COAST
FOREST LAND	2372	NSW	NSW NORTH COAST
LISTON	2372	NSW	NSW NORTH COAST
MOLE RIVER	2372	NSW	NSW NORTH COAST
RIVERTREE	2372	NSW	NSW NORTH COAST
ROCKY RIVER	2372	NSW	NSW NORTH COAST
SANDY FLAT	2372	NSW	NSW NORTH COAST
SANDY HILL	2372	NSW	NSW NORTH COAST
SILENT GROVE	2372	NSW	NSW NORTH COAST
TARBAN	2372	NSW	NSW NORTH COAST
TENTERFIELD	2372	NSW	NSW NORTH COAST
TIMBARRA	2372	NSW	NSW NORTH COAST
WILLSONS DOWNFALL	2372	NSW	NSW NORTH COAST
WOODSIDE	2372	NSW	NSW NORTH COAST
WYLIE CREEK	2372	NSW	NSW NORTH COAST
GOOLHI	2379	NSW	NSW NORTH COAST
MULLALEY	2379	NSW	NSW NORTH COAST
NAPIER LANE	2379	NSW	NSW NORTH COAST
NOMBI	2379	NSW	NSW NORTH COAST
BLUE VALE	2380	NSW	NSW NORTH COAST
EMERALD HILL	2380	NSW	NSW NORTH COAST
GHOOLENDAADI	2380	NSW	NSW NORTH COAST
GUNNEDAH	2380	NSW	NSW NORTH COAST
KELVIN	2380	NSW	NSW NORTH COAST
MARYS MOUNT	2380	NSW	NSW NORTH COAST
MILROY	2380	NSW	NSW NORTH COAST
ORANGE GROVE	2380	NSW	NSW NORTH COAST
RANGARI	2380	NSW	NSW NORTH COAST
BREEZA	2381	NSW	NSW NORTH COAST
CURLEWIS	2381	NSW	NSW NORTH COAST
PREMER	2381	NSW	NSW NORTH COAST
TAMBAR SPRINGS	2381	NSW	NSW NORTH COAST
BOGGABRI	2382	NSW	NSW NORTH COAST
MAULES CREEK	2382	NSW	NSW NORTH COAST
WEAN	2382	NSW	NSW NORTH COAST
WILLALA	2382	NSW	NSW NORTH COAST
BURREN JUNCTION	2386	NSW	NSW NORTH COAST
DRILDOOL	2386	NSW	NSW NORTH COAST
NOWLEY	2386	NSW	NSW NORTH COAST
BULYEROI	2387	NSW	NSW NORTH COAST
ROWENA	2387	NSW	NSW NORTH COAST
BOOLCARROLL	2388	NSW	NSW NORTH COAST
CUTTABRI	2388	NSW	NSW NORTH COAST
MERAH NORTH	2388	NSW	NSW NORTH COAST
PILLIGA	2388	NSW	NSW NORTH COAST
SPRING PLAINS	2388	NSW	NSW NORTH COAST
THE PILLIGA	2388	NSW	NSW NORTH COAST
WEE WAA	2388	NSW	NSW NORTH COAST
YARRIE LAKE	2388	NSW	NSW NORTH COAST
BAAN BAA	2390	NSW	NSW NORTH COAST
BACK CREEK	2390	NSW	NSW NORTH COAST
BERRIGAL	2390	NSW	NSW NORTH COAST
BOHENA CREEK	2390	NSW	NSW NORTH COAST
BULLAWA CREEK	2390	NSW	NSW NORTH COAST
COURADDA	2390	NSW	NSW NORTH COAST
EDGEROI	2390	NSW	NSW NORTH COAST
EULAH CREEK	2390	NSW	NSW NORTH COAST
HARPARARY	2390	NSW	NSW NORTH COAST
JACKS CREEK	2390	NSW	NSW NORTH COAST
KAPUTAR	2390	NSW	NSW NORTH COAST
NARRABRI	2390	NSW	NSW NORTH COAST
NARRABRI WEST	2390	NSW	NSW NORTH COAST
ROCKY CREEK	2390	NSW	NSW NORTH COAST
TARRIARO	2390	NSW	NSW NORTH COAST
TURRAWAN	2390	NSW	NSW NORTH COAST
BINNAWAY	2395	NSW	NSW NORTH COAST
ROPERS ROAD	2395	NSW	NSW NORTH COAST
WEETALIBA	2395	NSW	NSW NORTH COAST
BARADINE	2396	NSW	NSW NORTH COAST
BARWON	2396	NSW	NSW NORTH COAST
GOORIANAWA	2396	NSW	NSW NORTH COAST
KENEBRI	2396	NSW	NSW NORTH COAST
BELLATA	2397	NSW	NSW NORTH COAST
JEWS LAGOON	2397	NSW	NSW NORTH COAST
MILLIE	2397	NSW	NSW NORTH COAST
GURLEY	2398	NSW	NSW NORTH COAST
BINIGUY	2399	NSW	NSW NORTH COAST
PALLAMALLAWA	2399	NSW	NSW NORTH COAST
ASHLEY	2400	NSW	NSW NORTH COAST
BULLARAH	2400	NSW	NSW NORTH COAST
CROOBLE	2400	NSW	NSW NORTH COAST
MALLOWA	2400	NSW	NSW NORTH COAST
MOREE	2400	NSW	NSW NORTH COAST
MOREE EAST	2400	NSW	NSW NORTH COAST
TERRY HIE HIE	2400	NSW	NSW NORTH COAST
TULLOONA	2400	NSW	NSW NORTH COAST
GRAVESEND	2401	NSW	NSW NORTH COAST
BALFOURS PEAK	2402	NSW	NSW NORTH COAST
COOLATAI	2402	NSW	NSW NORTH COAST
WARIALDA	2402	NSW	NSW NORTH COAST
WARIALDA RAIL	2402	NSW	NSW NORTH COAST
DELUNGRA	2403	NSW	NSW NORTH COAST
GRAGIN	2403	NSW	NSW NORTH COAST
MYALL CREEK	2403	NSW	NSW NORTH COAST
BANGHEET	2404	NSW	NSW NORTH COAST
BINGARA	2404	NSW	NSW NORTH COAST
DINOGA	2404	NSW	NSW NORTH COAST
ELCOMBE	2404	NSW	NSW NORTH COAST
GINEROI	2404	NSW	NSW NORTH COAST
KEERA	2404	NSW	NSW NORTH COAST
PALLAL	2404	NSW	NSW NORTH COAST
RIVERVIEW	2404	NSW	NSW NORTH COAST
UPPER BINGARA	2404	NSW	NSW NORTH COAST
BOOMI	2405	NSW	NSW NORTH COAST
GARAH	2405	NSW	NSW NORTH COAST
MUNGINDI	2406	NSW	NSW NORTH COAST
MUNGINDI	2406	QLD	NSW NORTH COAST
WEEMELAH	2406	NSW	NSW NORTH COAST
BLUE NOBBY	2408	NSW	NSW NORTH COAST
NORTH STAR	2408	NSW	NSW NORTH COAST
YALLAROI	2408	NSW	NSW NORTH COAST
BOGGABILLA	2409	NSW	NSW NORTH COAST
BOONAL	2409	NSW	NSW NORTH COAST
TWIN RIVERS	2410	NSW	NSW NORTH COAST
YETMAN	2410	NSW	NSW NORTH COAST
CROPPA CREEK	2411	NSW	NSW NORTH COAST
MONKERAI	2415	NSW	HUNTER
NOOROO	2415	NSW	HUNTER
STROUD ROAD	2415	NSW	HUNTER
UPPER KARUAH RIVER	2415	NSW	HUNTER
WEISMANTELS	2415	NSW	HUNTER
ALISON	2420	NSW	HUNTER
BANDON GROVE	2420	NSW	HUNTER
BENDOLBA	2420	NSW	HUNTER
BROOKFIELD	2420	NSW	HUNTER
CAMBRA	2420	NSW	HUNTER
CHICHESTER	2420	NSW	HUNTER
DUNGOG	2420	NSW	HUNTER
FLAT TOPS	2420	NSW	HUNTER
FOSTERTON	2420	NSW	HUNTER
HANLEYS CREEK	2420	NSW	HUNTER
HILLDALE	2420	NSW	HUNTER
MAIN CREEK	2420	NSW	HUNTER
MARSHDALE	2420	NSW	HUNTER
MARTINS CREEK	2420	NSW	HUNTER
MUNNI	2420	NSW	HUNTER
SALISBURY	2420	NSW	HUNTER
STROUD HILL	2420	NSW	HUNTER
SUGARLOAF	2420	NSW	HUNTER
TABBIL CREEK	2420	NSW	HUNTER
UNDERBANK	2420	NSW	HUNTER
WALLARINGA	2420	NSW	HUNTER
WALLAROBBA	2420	NSW	HUNTER
WIRRAGULLA	2420	NSW	HUNTER
FISHERS HILL	2421	NSW	HUNTER
PATERSON	2421	NSW	HUNTER
SUMMER HILL	2421	NSW	HUNTER
TOCAL	2421	NSW	HUNTER
TORRYBURN	2421	NSW	HUNTER
VACY	2421	NSW	HUNTER
WEBBERS CREEK	2421	NSW	HUNTER
BACK CREEK	2422	NSW	HUNTER
BAKERS CREEK	2422	NSW	HUNTER
BARRINGTON	2422	NSW	HUNTER
BARRINGTON TOPS	2422	NSW	HUNTER
BAXTERS RIDGE	2422	NSW	HUNTER
BELBORA	2422	NSW	HUNTER
BERRICO	2422	NSW	HUNTER
BINDERA	2422	NSW	HUNTER
BOWMAN	2422	NSW	HUNTER
BOWMAN FARM	2422	NSW	HUNTER
BRETTI	2422	NSW	HUNTER
BULLIAC	2422	NSW	HUNTER
BUNDOOK	2422	NSW	HUNTER
CALLAGHANS CREEK	2422	NSW	HUNTER
COBARK	2422	NSW	HUNTER
CONEAC	2422	NSW	HUNTER
COPELAND	2422	NSW	HUNTER
CRAVEN	2422	NSW	HUNTER
CRAVEN PLATEAU	2422	NSW	HUNTER
CURRICABARK	2422	NSW	HUNTER
DEWITT	2422	NSW	HUNTER
FAULKLAND	2422	NSW	HUNTER
FORBESDALE	2422	NSW	HUNTER
GANGAT	2422	NSW	HUNTER
GIRO	2422	NSW	HUNTER
GLEN WARD	2422	NSW	HUNTER
GLOUCESTER	2422	NSW	HUNTER
GLOUCESTER TOPS	2422	NSW	HUNTER
INVERGORDON	2422	NSW	HUNTER
KIA ORA	2422	NSW	HUNTER
MARES RUN	2422	NSW	HUNTER
MERNOT	2422	NSW	HUNTER
MOGRANI	2422	NSW	HUNTER
MOPPY	2422	NSW	HUNTER
RAWDON VALE	2422	NSW	HUNTER
ROOKHURST	2422	NSW	HUNTER
STRATFORD	2422	NSW	HUNTER
TERREEL	2422	NSW	HUNTER
TIBBUC	2422	NSW	HUNTER
TITAATEE CREEK	2422	NSW	HUNTER
TUGRABAKH	2422	NSW	HUNTER
WALLANBAH	2422	NSW	HUNTER
WARDS RIVER	2422	NSW	HUNTER
WAUKIVORY	2422	NSW	HUNTER
WOKO	2422	NSW	HUNTER
BOMBAH POINT	2423	NSW	HUNTER
BOOLAMBAYTE	2423	NSW	HUNTER
BULAHDELAH	2423	NSW	HUNTER
BUNGWAHL	2423	NSW	HUNTER
COOLONGOLOOK	2423	NSW	HUNTER
CRAWFORD RIVER	2423	NSW	HUNTER
MARKWELL	2423	NSW	HUNTER
MAYERS FLAT	2423	NSW	HUNTER
MUNGO BRUSH	2423	NSW	HUNTER
MYALL LAKE	2423	NSW	HUNTER
NERONG	2423	NSW	HUNTER
SEAL ROCKS	2423	NSW	HUNTER
TOPI TOPI	2423	NSW	HUNTER
UPPER MYALL	2423	NSW	HUNTER
VIOLET HILL	2423	NSW	HUNTER
WANG WAUK	2423	NSW	HUNTER
WARRANULLA	2423	NSW	HUNTER
WILLINA	2423	NSW	HUNTER
WOOTTON	2423	NSW	HUNTER
YAGON	2423	NSW	HUNTER
CAFFREYS FLAT	2424	NSW	HUNTER
CELLS RIVER	2424	NSW	HUNTER
COOPLACURRIPA	2424	NSW	HUNTER
CUNDLE FLAT	2424	NSW	HUNTER
KNORRIT FLAT	2424	NSW	HUNTER
KNORRIT FOREST	2424	NSW	HUNTER
MOUNT GEORGE	2424	NSW	HUNTER
NUMBER ONE	2424	NSW	HUNTER
TIRI	2424	NSW	HUNTER
ALLWORTH	2425	NSW	HUNTER
BOORAL	2425	NSW	HUNTER
GIRVAN	2425	NSW	HUNTER
STROUD	2425	NSW	HUNTER
THE BRANCH	2425	NSW	HUNTER
WASHPOOL	2425	NSW	HUNTER
COOPERNOOK	2426	NSW	HUNTER
LANGLEY VALE	2426	NSW	HUNTER
MOTO	2426	NSW	HUNTER
CROWDY HEAD	2427	NSW	HUNTER
